
Street Address,City,State/Province,Country,Postal Code,Latitude,Longitude
123 Main St.,New York,NY,USA,10001,40.7128,-74.0060
567 Pine St.,Los Angeles,CA,USA,90001,34.0522,-118.2437
789 Elm Rd.,Chicago,IL,USA,60606,41.8781,-87.6298
1011 Oak Ave.,Houston,TX,USA,77001,29.7604,-95.3698
1213 Cedar Blvd.,Philadelphia,PA,USA,19019,39.9526,-75.1652
1415 Maple St.,Phoenix,AZ,USA,85001,33.4484,-112.0740
1617 Willow Rd.,San Antonio,TX,USA,78201,29.4241,-98.4936
1819 Birch Ave.,San Diego,CA,USA,92101,32.7157,-117.1611
2021 Ash St.,Dallas,TX,USA,75201,32.7767,-96.7970
2223 Sycamore Dr.,San Jose,CA,USA,95101,37.3382,-121.8863
2425 Walnut Rd.,Austin,TX,USA,78701,30.2672,-97.7431
2627 Chestnut St.,Columbus,OH,USA,43201,39.9612,-82.9988
2829 Hickory Ave.,Fort Worth,TX,USA,76101,32.7555,-97.3308
3031 Maple Ave.,Charlotte,NC,USA,28201,35.2271,-80.8431
3233 Oak St.,Detroit,MI,USA,48201,42.3314,-83.0458
3435 Pine Rd.,El Paso,TX,USA,79901,31.7619,-106.4850
3637 Cedar Ave.,Memphis,TN,USA,38101,35.1495,-90.0490
3839 Willow St.,Boston,MA,USA,02101,42.3601,-71.0589
4041 Birch Rd.,Seattle,WA,USA,98101,47.6062,-122.3321
4243 Ash Ave.,Washington,DC,USA,20001,38.9072,-77.0369
4445 Sycamore Dr.,Nashville,TN,USA,37201,36.1627,-86.7816
