
First Name,Last Name,Age,Occupation,Gender,Race/Ethnicity,Employment Status,Address,Timestamp
Mabel,Perry,30,Washerwoman,Female,African-American,Employed,123 Main St.,2020-07-10T18:00:00
Ora,Smith,25,Washerwoman,Female,African-American,Employed,456 Washington Ave.,2020-07-10T18:00:00
Alice,Jones,35,Washerwoman,Female,African-American,Employed,789 Pine St.,2020-07-10T18:00:00
John,Brown,40,Washerwoman,Male,African-American,Employed,321 Elm St.,2020-07-10T18:00:00
Mary,Williams,20,Washerwoman,Female,African-American,Employed,654 Oak St.,2020-07-10T18:00:00
Joseph,Davis,22,Washerwoman,Male,African-American,Employed,987 Maple St.,2020-07-10T18:00:00
Lola,Taylor,27,Washerwoman,Female,African-American,Employed,321 Cedar St.,2020-07-10T18:00:00
Frank,Wilson,32,Washerwoman,Male,African-American,Employed,654 Birch St.,2020-07-10T18:00:00
Clara,Moore,37,Washerwoman,Female,African-American,Employed,987 Chestnut St.,2020-07-10T18:00:00
Ruth,Anderson,45,Washerwoman,Female,African-American,Employed,123 Walnut St.,2020-07-10T18:00:00
James,Jackson,50,Washerwoman,Male,African-American,Employed,456 Poplar St.,2020-07-10T18:00:00
Lena,Thompson,55,Washerwoman,Female,African-American,Employed,789 Sycamore St.,2020-07-10T18:00:00
Willie,White,60,Washerwoman,Male,African-American,Employed,321 Beech St.,2020-07-10T18:00:00
Hattie,Harris,65,Washerwoman,Female,African-American,Employed,654 Apple St.,2020-07-10T18:00:00
Florence,Martin,70,Washerwoman,Female,African-American,Employed,987 Pear St.,2020-07-10T18:00:00
Ella,Robinson,75,Washerwoman,Female,African-American,Employed,123 Peach St.,2020-07-10T18:00:00
Edith,Lewis,80,Washerwoman,Female,African-American,Employed,456 Plum St.,2020-07-10T18:00:00
Charlie,Walker,85,Washerwoman,Male,African-American,Employed,789 Apricot St.,2020-07-10T18:00:00
Annie,Hall,90,Washerwoman,Female,African-American,Employed,321 Cherry St.,2020-07-10T18:00:00
