
BirthMonth_ID,Population_ID,Person_Name,Month_of_Birth,Timestamp
1,1,John Smith,April,2020-02-01 12:00:00
2,2,Jane Doe,October,2020-02-10 17:00:00
3,3,Jack Johnson,June,2020-02-20 10:00:00
4,4,Jill Williams,February,2020-03-01 14:00:00
5,5,James Brown,December,2020-03-10 16:00:00
6,6,Jennifer Davis,January,2020-03-20 12:00:00
7,7,Jason Miller,November,2020-04-01 13:00:00
8,8,Jessica Wilson,August,2020-04-10 18:00:00
9,9,Joseph Moore,May,2020-04-20 11:00:00
10,10,Julia Taylor,July,2020-05-01 15:00:00
11,11,Jacob Anderson,March,2020-05-10 17:00:00
12,12,Jasmine Thomas,September,2020-05-20 13:00:00
13,13,Jeffrey Jackson,January,2020-06-01 16:00:00
14,14,Jane Martin,April,2020-06-10 19:00:00
15,15,John Lee,February,2020-06-20 14:00:00
16,16,Joseph White,June,2020-07-01 11:00:00
17,17,Jack Thompson,November,2020-07-10 15:00:00
18,18,Jennifer Harris,December,2020-07-20 12:00:00
19,19,Jason Garcia,October,2020-08-01 17:00:00
20,20,Jessica Clark,August,2020-08-10 18:00:00
