
BirthYear_ID,Population_ID,Person_Name,Year_of_Birth,Timestamp
1,1,John Smith,1990,2020-04-01 12:00:00
2,1,Jane Doe,1992,2020-04-01 12:00:01
3,2,James Brown,1985,2020-04-01 12:00:02
4,2,Mary Jones,1982,2020-04-01 12:00:03
5,3,David Johnson,1999,2020-04-01 12:00:04
6,3,Linda Williams,1997,2020-04-01 12:00:05
7,4,Mark Wilson,1975,2020-04-01 12:00:06
8,4,Karen Taylor,1976,2020-04-01 12:00:07
9,5,Robert Anderson,1995,2020-04-01 12:00:08
10,5,Kimberly Thomas,1994,2020-04-01 12:00:09
11,6,Michael Jackson,1988,2020-04-01 12:00:10
12,6,Elizabeth White,1989,2020-04-01 12:00:11
13,7,William Moore,1984,2020-04-01 12:00:12
14,7,Susan Harris,1981,2020-04-01 12:00:13
15,8,Joseph Martin,2001,2020-04-01 12:00:14
16,8,Barbara Davis,2004,2020-04-01 12:00:15
17,9,Richard Thompson,1978,2020-04-01 12:00:16
18,9,Patricia Walker,1980,2020-04-01 12:00:17
19,10,Charles Clark,2000,2020-04-01 12:00:18
20,10,Jennifer Lewis,1998,2020-04-01 12:00:19
