
User_ID,First_Name,Last_Name,Age,Gender,Face_Blindness,Date_Created,Last_Updated
1,John,Smith,30,Male,No,8/1/2020,8/1/2020
2,Jane,Doe,25,Female,No,8/1/2020,8/2/2020
3,Adam,Jones,32,Male,No,8/1/2020,8/3/2020
4,Emily,Brown,20,Female,No,8/2/2020,8/4/2020
5,Matthew,Wilson,27,Male,No,8/2/2020,8/4/2020
6,Samantha,Taylor,35,Female,No,8/3/2020,8/5/2020
7,Joshua,Moore,40,Male,No,8/3/2020,8/6/2020
8,Ashley,Anderson,22,Female,No,8/4/2020,8/7/2020
9,Daniel,Thomas,28,Male,No,8/4/2020,8/8/2020
10,Sarah,Jackson,38,Female,No,8/5/2020,8/9/2020
11,David,White,45,Male,No,8/5/2020,8/10/2020
12,Stephanie,Harris,24,Female,No,8/6/2020,8/11/2020
13,Chris,Martin,33,Male,Yes,8/6/2020,8/12/2020
14,Lauren,Thompson,19,Female,Yes,8/7/2020,8/13/2020
15,Ryan,Garcia,29,Male,Yes,8/7/2020,8/14/2020
16,Amanda,Martinez,36,Female,Yes,8/8/2020,8/15/2020
17,Andrew,Robinson,41,Male,Yes,8/8/2020,8/16/2020
18,Emily,Clark,23,Female,Yes,8/9/2020,8/17/2020
19,Brian,Rodriguez,30,Male,Yes,8/9/2020,8/18/2020
20,Megan,James,39,Female,Yes,8/10/2020,8/19/2020
