
Reviewer Name,Rating,Review Text,Book,Timestamps
John Doe,5,This book is amazing! I could not put it down. Highly recommend!,Book 1,2020-01-01 12:00:00
Jane Smith,3,It was ok. A little slow at times.,Book 1,2020-01-02 12:00:00
Dave Johnson,4,This book was really enjoyable. I'm looking forward to the next one!,Book 1,2020-01-03 12:00:00
Sara Jones,2,Not my cup of tea. Couldn't get into it.,Book 1,2020-01-04 12:00:00
John Doe,4,A great sequel! Can't wait to see what happens next.,Book 2,2020-02-01 12:00:00
Jane Smith,5,This book was even better than the first one. Highly recommend!,Book 2,2020-02-02 12:00:00
Dave Johnson,3,It was ok. A few too many plot twists.,Book 2,2020-02-03 12:00:00
Sara Jones,1,I didn't like this one at all. Too predictable.,Book 2,2020-02-04 12:00:00
John Doe,5,This book was amazing! I could not put it down. Highly recommend!,Book 3,2020-03-01 12:00:00
Jane Smith,4,It was really enjoyable. I'm looking forward to the next one!,Book 3,2020-03-02 12:00:00
Dave Johnson,3,It was ok. A little slow at times.,Book 3,2020-03-03 12:00:00
Sara Jones,2,Not my cup of tea. Couldn't get into it.,Book 3,2020-03-04 12:00:00
John Doe,4,A great sequel! Can't wait to see what happens next.,Book 4,2020-04-01 12:00:00
Jane Smith,5,This book was even better than the first one. Highly recommend!,Book 4,2020-04-02 12:00:00
Dave Johnson,3,It was ok. A few too many plot twists.,Book 4,2020-04-03 12:00:00
Sara Jones,1,I didn't like this one at all. Too predictable.,Book 4,2020-04-04 12:00:00
John Doe,4,This book was really enjoyable. I'm looking forward to the next one!,Book 5,2020-05-01 12:00:00
Jane Smith,5,This book was amazing! I could not put it down. Highly recommend!,Book 5,2020-05-02 12:00:00
Dave Johnson,3,It was ok. A little slow at times.,Book 5,2020-05-03 12:00:00
Sara Jones,2,Not my cup of tea. Couldn't get into it.,Book 5,2020-05-04 12:00:00
