
Employee_ID,First_Name,Last_Name,Position,Date_Hired
1,John,Smith,Manager,2021-01-01 00:00:00
2,Sara,Johnson,Cashier,2020-11-15 00:00:00
3,Mary,Williams,Cashier,2020-10-01 00:00:00
4,Harry,Brown,Skate Rental,2020-08-20 00:00:00
5,Joseph,Jones,Snack Bar,2020-07-10 00:00:00
6,Anne,Miller,Cashier,2020-06-01 00:00:00
7,David,Davis,Manager,2020-05-15 00:00:00
8,Linda,Wilson,Skate Rental,2020-04-01 00:00:00
9,Christopher,Moore,Snack Bar,2020-03-10 00:00:00
10,Elizabeth,Taylor,Cashier,2020-02-01 00:00:00
11,Matthew,Anderson,Manager,2020-01-15 00:00:00
12,James,Thomas,Skate Rental,2019-12-01 00:00:00
13,Jennifer,Jackson,Snack Bar,2019-11-10 00:00:00
14,Richard,White,Cashier,2019-10-01 00:00:00
15,Karen,Harris,Manager,2019-09-15 00:00:00
16,Steven,Martin,Skate Rental,2019-08-01 00:00:00
17,Brian,Thompson,Snack Bar,2019-07-10 00:00:00
18,Susan,Garcia,Cashier,2019-06-01 00:00:00
19,George,Martinez,Manager,2019-05-15 00:00:00
20,Ronald,Robinson,Skate Rental,2019-04-01 00:00:00
