
Visitor_ID,First_Name,Last_Name,Age,Gender,Date_of_Visit,Time_of_Visit
1,John,Smith,17,M,10/04/2020,10:00:00
2,Sara,Jones,19,F,10/05/2020,11:00:00
3,Mark,Brown,25,M,10/06/2020,12:00:00
4,Emily,Williams,21,F,10/07/2020,13:00:00
5,David,Davis,30,M,10/08/2020,14:00:00
6,Karen,Wilson,22,F,10/09/2020,15:00:00
7,James,Taylor,27,M,10/10/2020,16:00:00
8,Lisa,Anderson,18,F,10/11/2020,17:00:00
9,Jason,Thomas,24,M,10/12/2020,18:00:00
10,Stephanie,Jackson,20,F,10/13/2020,19:00:00
11,Matthew,White,29,M,10/14/2020,20:00:00
12,Amy,Harris,23,F,10/15/2020,21:00:00
13,Christopher,Martin,26,M,10/16/2020,22:00:00
14,Rebecca,Thompson,19,F,10/17/2020,23:00:00
15,Joshua,Garcia,31,M,10/18/2020,00:00:00
16,Michelle,Martinez,21,F,10/19/2020,01:00:00
17,Brian,Robinson,28,M,10/20/2020,02:00:00
18,Elizabeth,Clark,17,F,10/21/2020,03:00:00
19,Patrick,Rodriguez,25,M,10/22/2020,04:00:00
20,Heather,Lewis,22,F,10/23/2020,05:00:00
