
Contact ID,Partner ID,Employee Name,Job Title,Email Address,Phone Number,Timestamp
1,1,John Smith,Manager,jsmith@example.com,+1-555-555-5555,2020-09-01 11:00:00
2,1,Jane Doe,Director,jdoe@example.com,+1-555-555-5556,2020-09-02 12:00:00
3,2,John Doe,CEO,jdoe@example.net,+1-555-555-5557,2020-09-03 13:00:00
4,2,Jane Smith,Sales Representative,jsmith@example.net,+1-555-555-5558,2020-09-04 14:00:00
5,3,Bob Smith,Accountant,bsmith@example.com,+1-555-555-5559,2020-09-05 15:00:00
6,3,Sandra Doe,Controller,sdoe@example.com,+1-555-555-5560,2020-09-06 16:00:00
7,4,Tom Doe,IT Manager,tdoe@example.net,+1-555-555-5561,2020-09-07 17:00:00
8,4,Mary Smith,Software Engineer,msmith@example.net,+1-555-555-5562,2020-09-08 18:00:00
9,5,Alice Smith,Marketing Director,asmith@example.com,+1-555-555-5563,2020-09-09 19:00:00
10,5,Bill Doe,HR Manager,bdoe@example.com,+1-555-555-5564,2020-09-10 20:00:00
11,6,Andy Doe,Project Manager,adoe@example.net,+1-555-555-5565,2020-09-11 21:00:00
12,6,Karen Smith,Graphic Designer,ksmith@example.net,+1-555-555-5566,2020-09-12 22:00:00
13,7,Jill Smith,Web Developer,jsmith@example.com,+1-555-555-5567,2020-09-13 23:00:00
14,7,Dave Doe,Copywriter,ddoe@example.com,+1-555-555-5568,2020-09-14 00:00:00
15,8,Chris Doe,Product Manager,cdoe@example.net,+1-555-555-5569,2020-09-15 01:00:00
16,8,Nancy Smith,Content Strategist,nsmith@example.net,+1-555-555-5570,2020-09-16 02:00:00
17,9,Mike Smith,Financial Analyst,msmith@example.com,+1-555-555-5571,2020-09-17 03:00:00
18,9,Steve Doe,Consultant,sdoe@example.com,+1-555-555-5572,2020-09-18 04:00:00
19,10,Liz Doe,Systems Administrator,ldoe@example.net,+1-555-555-5573,2020-09-19 05:00:00
20,10,Paul Smith,Data Analyst,psmith@example.net,+1-555-555-5574,2020-09-20 06:00:00
