
Customer_ID,Name,Address,Phone Number,Email,Timestamp
1,John Smith,123 Main Street,555-123-4567,jsmith@example.com,2020-04-01 15:30:00
2,Jane Doe,456 Pine Street,555-456-7890,jdoe@example.com,2020-04-02 12:00:00
3,Bob Brown,789 Oak Street,555-789-1234,bbrown@example.com,2020-04-03 09:45:00
4,Mary Jones,123 Maple Street,555-123-4567,mjones@example.com,2020-04-04 14:15:00
5,Harry White,456 Cedar Street,555-456-7890,hwhite@example.com,2020-04-05 11:30:00
6,Sally Gray,789 Willow Street,555-789-1234,sgray@example.com,2020-04-06 08:45:00
7,Tom Black,123 Walnut Street,555-123-4567,tblack@example.com,2020-04-07 13:15:00
8,Karen Green,456 Elm Street,555-456-7890,kgreen@example.com,2020-04-08 10:30:00
9,Steve Red,789 Ash Street,555-789-1234,sred@example.com,2020-04-09 07:45:00
10,Linda Blue,123 Hickory Street,555-123-4567,lblue@example.com,2020-04-10 12:15:00
11,Paul Yellow,456 Birch Street,555-456-7890,pyellow@example.com,2020-04-11 09:30:00
12,Ralph Purple,789 Cherry Street,555-789-1234,rpurple@example.com,2020-04-12 06:45:00
13,Carol Orange,123 Dogwood Street,555-123-4567,corange@example.com,2020-04-13 11:15:00
14,George Pink,456 Poplar Street,555-456-7890,gpink@example.com,2020-04-14 08:30:00
15,Frank Magenta,789 Maple Street,555-789-1234,fmagenta@example.com,2020-04-15 05:45:00
16,Nancy Maroon,123 Willow Street,555-123-4567,nmaroon@example.com,2020-04-16 10:15:00
17,Roger Brown,456 Cedar Street,555-456-7890,rbrown@example.com,2020-04-17 07:30:00
18,Arthur Gray,789 Oak Street,555-789-1234,agray@example.com,2020-04-18 04:45:00
19,Julie White,123 Pine Street,555-123-4567,jwhite@example.com,2020-04-19 09:15:00
20,Gerald Black,456 Main Street,555-456-7890,gblack@example.com,2020-04-20 06:30:00
